,Sentence,Parser Outputs
383,jan pona pi meli en mije li moku e moku.,"s(dec(subj_p(((noun(jan),adjective(pona)),noun(meli),conj(en),noun(mije))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
384,jan pona pi meli en ona li moku e moku.,"s(dec(subj_p(((noun(jan),adjective(pona)),noun(meli),conj(en),pronoun(ona))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
385,jan pona pi meli en ona pona li moku e moku.,"s(dec(subj_p(((noun(jan),adjective(pona)),noun(meli),conj(en),pronoun(ona),adjective(pona))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
388,jan pona pi ona en mije li moku e moku.,"s(dec(subj_p(((noun(jan),adjective(pona)),pronoun(ona),conj(en),noun(mije))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
389,jan pona pi ona en mije suwi li moku e moku.,"s(dec(subj_p(((noun(jan),adjective(pona)),pronoun(ona),conj(en),noun(mije),adjective(suwi))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
390,jan pona pi ona en sina li moku e moku.,"s(dec(subj_p(((noun(jan),adjective(pona)),pronoun(ona),conj(en),pronoun(sina))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
391,jan pona pi ona en sina pona li moku e moku.,"s(dec(subj_p(((noun(jan),adjective(pona)),pronoun(ona),conj(en),pronoun(sina),adjective(pona))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
393,"jan pona pi ona pona, en sina li moku e moku.","s(dec(subj_p((((noun(jan),adjective(pona)),pronoun(ona),adjective(pona)),conj(en),pronoun(sina))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
394,jan pona Santa ni li pana e pona.,"s(dec(subj_p((noun(jan),adjective(pona),unofficial_famous_man(famous_man(Santa)),pronoun(ni))),pred_p(verb_t(pana),obj_d(noun(pona)))))"
395,jan pona seme li moku e moku?,"s(int(who(subj_p((noun(jan),adjective(pona),pronoun_interrogative(seme))),pred_p(verb_t(moku),obj_d(noun(moku))))))"
396,jan pona seme pi mama sina li moku e moku?,"s(int(who(subj_p((noun(jan),adjective(pona),pronoun_interrogative(seme),noun(mama),pronoun(sina))),pred_p(verb_t(moku),obj_d(noun(moku))))))"
397,jan pona seme pi mama sina pi mama ona li moku e moku?,"s(int(who(subj_p((noun(jan),adjective(pona),pronoun_interrogative(seme),(noun(mama),pronoun(sina)),noun(mama),pronoun(ona))),pred_p(verb_t(moku),obj_d(noun(moku))))))"
401,jan Santa li pana e pona.,"s(dec(subj_p((noun(jan),unofficial_famous_man(famous_man(Santa)))),pred_p(verb_t(pana),obj_d(noun(pona)))))"
404,jan seme li moku e moku?,"s(int(who(subj_p((noun(jan),pronoun_interrogative(seme))),pred_p(verb_t(moku),obj_d(noun(moku))))))"
405,jan seme li pali e supa ni?,"s(int(who(subj_p((noun(jan),pronoun_interrogative(seme))),pred_p(verb_t(pali),obj_d((noun(supa),pronoun(ni)))))))"
410,jan seme pi mama sina li moku e moku?,"s(int(who(subj_p((noun(jan),pronoun_interrogative(seme),noun(mama),pronoun(sina))),pred_p(verb_t(moku),obj_d(noun(moku))))))"
411,jan Sesi o moku e kili ni!,"s(imp(com(subj_p((noun(jan),unofficial_female_name(known_female_name(Sesi)))),pred_p(verb_t(moku),obj_d((noun(kili),pronoun(ni)))))))"
418,jan sewi li olin e sina.,"s(dec(subj_p((noun(jan),adjective(sewi))),pred_p(verb_t(olin),obj_d(pronoun(sina)))))"
428,jan sona li toki e ni.,"s(dec(subj_p((noun(jan),adjective(sona))),pred_p(verb_t(toki),obj_d(pronoun(ni)))))"
436,jan Sulu li utala e jan ike.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Sulu)))),pred_p(verb_t(utala),obj_d((noun(jan),adjective(ike))))))"
438,jan Susan,"headline(obj_i((noun(jan),unofficial_female_name(known_female_name(Susan)))))"
439,jan Susan anu jan Lisa li moku e suwi?,"s(int(decision_subject(subj_p((noun(jan),unofficial_female_name(known_female_name(Susan))),conj(anu),(noun(jan),unofficial_female_name(known_female_name(Lisa)))),pred_p(verb_t(moku),obj_d(noun(suwi))))))"
446,jan Toni li sona e ni: mi olin e ona.,"s(dec(subj_p((noun(jan),unofficial_person_name(unknown(Toni)))),pred_p(verb_t(sona),obj_d(pronoun(ni))),subj_p(pronoun(mi)),pred_p(verb_t(olin),obj_d(pronoun(ona)))))"
447,"jan, tu","headline(obj_i((noun(jan),card(numeral(tu)))))"
448,"jan, tu li moku e moku.","s(dec(subj_p((noun(jan),card(numeral(tu)))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
449,"jan, tu tu","headline(obj_i((noun(jan),card((numeral(tu),numeral(tu))))))"
450,"jan, tu tu tu","headline(obj_i((noun(jan),card((numeral(tu),numeral(tu),numeral(tu))))))"
451,"jan, tu tu tu wan","headline(obj_i((noun(jan),card((numeral(tu),numeral(tu),numeral(tu),numeral(wan))))))"
452,"jan, tu tu wan","headline(obj_i((noun(jan),card((numeral(tu),numeral(tu),numeral(wan))))))"
453,"jan, tu wan","headline(obj_i((noun(jan),card((numeral(tu),numeral(wan))))))"
456,jan utala li pakala e ijo ike.,"s(dec(subj_p((noun(jan),adjective(utala))),pred_p(verb_t(pakala),obj_d((noun(ijo),adjective(ike))))))"
457,jan utala li seli ala seli e tomo?,"s(int(yes_no(subj_p((noun(jan),adjective(utala))),pred_p(verb_t(seli),adverb(ala),verb_t(seli),obj_d(noun(tomo))))))"
461,"jan, wan","headline(obj_i((noun(jan),card(numeral(wan)))))"
464,jan Wasintan li jan lawa pona pi ma Mewika.,"s(dec(subj_p((noun(jan),unofficial_famous_man(famous_man(Wasintan)))),pred_p(verb_i(be),((noun(jan),adjective(lawa),adjective(pona)),noun(ma),unofficial_country(known_country(Mewika))))))"
465,jo.,s(dec(answer(yes(verb_t(jo)))))
477,kala li moku ala moku e telo?,"s(int(yes_no(subj_p(noun(kala)),pred_p(verb_t(moku),adverb(ala),verb_t(moku),obj_d(noun(telo))))))"
478,kala li moku e telo anu seme?,"s(int(or_what(subj_p(noun(kala)),(pred_p(verb_t(moku),obj_d(noun(telo))),conj(anu),pronoun_interrogative(seme)))))"
490,kala wawa li moku e seme?,"s(int(what_d_object(subj_p((noun(kala),adjective(wawa))),pred_p(verb_t(moku),obj_d(pronoun_interrogative(seme))))))"
501,kasi li jo e pipi e waso.,"s(dec(subj_p(noun(kasi)),pred_p(verb_t(jo),(obj_d(noun(pipi)),obj_d(noun(waso))))))"
502,kasi li kama jo e telo.,"s(dec(subj_p(noun(kasi)),pred_p((verb_p(kama),verb_t(jo)),obj_d(noun(telo)))))"
510,kasi pi nanpa wan,"headline(obj_i((noun(kasi),noun(nanpa),card(numeral(wan)))))"
512,ken la jaki!,"s(exc(cond_p(noun(ken)),inj(expletive(noun(jaki)))))"
514,ken la jan Lisa li jo e ona.,"s(dec(cond_p(noun(ken)),subj_p((noun(jan),unofficial_female_name(known_female_name(Lisa)))),pred_p(verb_t(jo),obj_d(pronoun(ona)))))"
518,ken la mi moku e moku!,"s(exc(cond_p(noun(ken)),subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
519,ken la mi moku e moku.,"s(dec(cond_p(noun(ken)),subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
520,ken la mi moku e moku la tenpo kama a!,"s(exc(cond_p(noun(ken)),subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(moku))),cond_p((noun(tenpo),adjective(kama)))),interjection(a))"
521,ken la mi pilin e ni: seme?,"s(int(cond_p(noun(ken)),subj_p(pronoun(mi)),pred_p(verb_t(pilin),obj_d(pronoun(ni))),pardon(pronoun_interrogative(seme))))"
522,ken la mi wile e ni: sina moku e moku!,"s(exc(cond_p(noun(ken)),subj_p(pronoun(mi)),pred_p(verb_t(wile),obj_d(pronoun(ni))),subj_p(pronoun(sina)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
525,ken la ona li tawa e kiwen.,"s(dec(cond_p(noun(ken)),subj_p(pronoun(ona)),pred_p(verb_t(tawa),obj_d(noun(kiwen)))))"
526,ken la o weka e pilin ike mi.,"s(imp(cond_p(noun(ken)),com(subj_p(interjection(o)),pred_p(verb_t(weka),obj_d((noun(pilin),adjective(ike),pronoun(mi)))))))"
531,ken la toki mi ni li toki pi musi ike.,"s(dec(cond_p(noun(ken)),subj_p((noun(toki),pronoun(mi),pronoun(ni))),pred_p(verb_i(be),(noun(toki),noun(musi),adjective(ike)))))"
532,"kepeken pi ilo MIRC li ' pona pi pilin pona, tawa ona.","s(dec(subj_p((noun(kepeken),noun(ilo),unofficial_thing(known_thing(MIRC)))),pred_p(verb_i(be),(noun(pona),noun(pilin),adjective(pona)),obj_p(preposition(tawa),pronoun(ona)))))"
535,kili li jo e telo.,"s(dec(subj_p(noun(kili)),pred_p(verb_t(jo),obj_d(noun(telo)))))"
539,kili li lon poki.,"s(dec(subj_p(noun(kili)),pred_p(verb_i(lon),obj_i(noun(poki)))))"
560,kulupu Isale o kute e ni.,"s(imp(com(subj_p((noun(kulupu),unofficial_community(unknown(Isale)))),pred_p(verb_t(kute),obj_d(pronoun(ni))))))"
563,kulupu Lapalapala,"headline(obj_i((noun(kulupu),unofficial_community(unknown(Lapalapala)))))"
568,kulupu li pali e tomo moku.,"s(dec(subj_p(noun(kulupu)),pred_p(verb_t(pali),obj_d((noun(tomo),adjective(moku))))))"
571,kulupu Neje,"headline(obj_i((noun(kulupu),unofficial_community(known_community(Neje)))))"
573,kulupu Neje pi ilo nanpa li ' nasa pi ma ni.,"s(dec(subj_p(((noun(kulupu),unofficial_community(known_community(Neje))),noun(ilo),adjective(nanpa))),pred_p(verb_i(be),(noun(nasa),noun(ma),pronoun(ni)))))"
575,kulupu pi kalama musi pi ma Inli li kalama e kalama musi.,"s(dec(subj_p((noun(kulupu),(noun(kalama),adjective(musi)),noun(ma),unofficial_country(known_country(Inli)))),pred_p(verb_t(kalama),obj_d((noun(kalama),adjective(musi))))))"
577,kulupu pi kalama musi pi ma Inli li ' pona pi kalama musi.,"s(dec(subj_p((noun(kulupu),(noun(kalama),adjective(musi)),noun(ma),unofficial_country(known_country(Inli)))),pred_p(verb_i(be),(noun(pona),noun(kalama),adjective(musi)))))"
578,kulupu pi kalama musi pi ma Inli pi meli pona li kalama e kalama musi.,"s(dec(subj_p((noun(kulupu),(noun(kalama),adjective(musi)),(noun(ma),unofficial_country(known_country(Inli))),noun(meli),adjective(pona))),pred_p(verb_t(kalama),obj_d((noun(kalama),adjective(musi))))))"
579,kulupu pi ma Inli pi ma suli Elopa li moku e moku.,"s(dec(subj_p((noun(kulupu),(noun(ma),unofficial_country(known_country(Inli))),noun(ma),adjective(suli),unofficial_continent(known_continent(Elopa)))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
580,kulupu pi meli sewi li lukin e meli suli.,"s(dec(subj_p((noun(kulupu),noun(meli),adjective(sewi))),pred_p(verb_t(lukin),obj_d((noun(meli),adjective(suli))))))"
581,kulupu pi meli suwi li lukin e meli Isapela taso.,"s(dec(subj_p((noun(kulupu),noun(meli),adjective(suwi))),pred_p(verb_t(lukin),obj_d((noun(meli),unofficial_female_name(unknown(Isapela)),adjective(taso))))))"
585,kulupu tu li toki e meli suli.,"s(dec(subj_p((noun(kulupu),card(numeral(tu)))),pred_p(verb_t(toki),obj_d((noun(meli),adjective(suli))))))"
586,kulupu wan li lukin e tomo pi meli Isapela.,"s(dec(subj_p((noun(kulupu),card(numeral(wan)))),pred_p(verb_t(lukin),obj_d((noun(tomo),noun(meli),unofficial_female_name(unknown(Isapela)))))))"
590,lape pona!,"s(exc(salut(salu_p(noun(lape),adjective(pona)))))"
594,lawa soweli li jo e palisa.,"s(dec(subj_p((noun(lawa),adjective(soweli))),pred_p(verb_t(jo),obj_d(noun(palisa)))))"
598,len sina li telo ala telo?,"s(int(yes_no(subj_p((noun(len),pronoun(sina))),pred_p(verb_t(telo),adverb(ala),verb_t(telo)))))"
603,lete sijelo li moli e meli ike kin.,"s(dec(subj_p((noun(lete),adjective(sijelo))),pred_p(verb_t(moli),obj_d((noun(meli),adjective(ike),adjective(kin))))))"
637,ma Kana,"headline(obj_i((noun(ma),unofficial_country(known_country(Kana)))))"
641,ma Lapalapa,"headline(obj_i((noun(ma),unofficial_country(unknown(Lapalapa)))))"
645,ma Lonpaki li jo e tomo meli pi nasin sewi.,"s(dec(subj_p((noun(ma),unofficial_country(unknown(Lonpaki)))),pred_p(verb_t(jo),obj_d(((noun(tomo),adjective(meli)),noun(nasin),adjective(sewi))))))"
646,mama.,s(dec(answer(yes(verb_t(mama)))))
647,mama ala.,"s(dec(answer(no(verb_t(mama),adverb(ala)))))"
670,mama tu li lukin e ona.,"s(dec(subj_p((noun(mama),card(numeral(tu)))),pred_p(verb_t(lukin),obj_d(pronoun(ona)))))"
688,ma suli Elopa,"headline(obj_i((noun(ma),adjective(suli),unofficial_continent(known_continent(Elopa)))))"
690,"ma suli Elopa pi pona lukin li ' pona pi pali ni, tawa mi.","s(dec(subj_p(((noun(ma),adjective(suli),unofficial_continent(known_continent(Elopa))),noun(pona),adjective(lukin))),pred_p(verb_i(be),(noun(pona),noun(pali),pronoun(ni)),obj_p(preposition(tawa),pronoun(mi)))))"
694,ma tomo Lapalapa,"headline(obj_i((noun(ma),adjective(tomo),unofficial_city(unknown(Lapalapa)))))"
698,ma tomo Pelin,"headline(obj_i((noun(ma),adjective(tomo),unofficial_city(known_city(Pelin)))))"
705,ma tomo suli ni pi ma suli Elopa li utala e kon.,"s(dec(subj_p(((noun(ma),(adjective(tomo),adjective(suli)),pronoun(ni)),noun(ma),adjective(suli),unofficial_continent(known_continent(Elopa)))),pred_p(verb_t(utala),obj_d(noun(kon)))))"
710,meli Elopa,"headline(obj_i((noun(meli),unofficial_female_resident(known_continent(Elopa)))))"
711,meli God li toki e toki.,"s(dec(subj_p((noun(meli),unofficial_person_name(famous_person(God)))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
712,meli ike li pakala e soweli.,"s(dec(subj_p((noun(meli),adjective(ike))),pred_p(verb_t(pakala),obj_d(noun(soweli)))))"
722,meli Isapela li unpa e mije.,"s(dec(subj_p((noun(meli),unofficial_female_name(unknown(Isapela)))),pred_p(verb_t(unpa),obj_d(noun(mije)))))"
723,meli Isapela li weka e mije ona.,"s(dec(subj_p((noun(meli),unofficial_female_name(unknown(Isapela)))),pred_p(verb_t(weka),obj_d((noun(mije),pronoun(ona))))))"
725,meli Lalalalalala li toki e toki.,"s(dec(subj_p((noun(meli),unofficial_female_name(unknown(Lalalalalala)))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
726,meli Lapalapala,"headline(obj_i((noun(meli),unofficial_female_name(unknown(Lapalapala)))))"
728,meli li kute e mije.,"s(dec(subj_p(noun(meli)),pred_p(verb_t(kute),obj_d(noun(mije)))))"
743,meli li nasa e mije.,"s(dec(subj_p(noun(meli)),pred_p(verb_t(nasa),obj_d(noun(mije)))))"
745,meli Lisa li moku e moku.,"s(dec(subj_p((noun(meli),unofficial_female_name(known_female_name(Lisa)))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
747,meli Mapulika li mama pi kulupu mama sina.,"s(dec(subj_p((noun(meli),unofficial_female_name(unknown(Mapulika)))),pred_p(verb_i(be),(noun(mama),noun(kulupu),adjective(mama),pronoun(sina)))))"
750,meli Mapuwika li kute pona e toki pi jan Mawi li toki musi e nimi.,"s(dec(subj_p((noun(meli),unofficial_female_name(unknown(Mapuwika)))),(pred_p((verb_t(kute),adverb(pona)),obj_d((noun(toki),noun(jan),unofficial_person_name(unknown(Mawi))))),pred_p(pred_p((verb_t(toki),adverb(musi)),obj_d(noun(nimi)))))))"
755,meli Mapuwika li toki e ni.,"s(dec(subj_p((noun(meli),unofficial_female_name(unknown(Mapuwika)))),pred_p(verb_t(toki),obj_d(pronoun(ni)))))"
756,meli Mapuwika li toki suli e ni.,"s(dec(subj_p((noun(meli),unofficial_female_name(unknown(Mapuwika)))),pred_p((verb_t(toki),adverb(suli)),obj_d(pronoun(ni)))))"
757,meli Mawija,"headline(obj_i((noun(meli),unofficial_famous_woman(known_famous_woman(Mawija)))))"
758,meli Mawija li moku e moku.,"s(dec(subj_p((noun(meli),unofficial_famous_woman(known_famous_woman(Mawija)))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
760,meli Mesiko,"headline(obj_i((noun(meli),unofficial_female_resident(known_country(Mesiko)))))"
762,"meli mi o, mi olin e sina!","s(exc(voc(voca_p((noun(meli),pronoun(mi))),subj_p(pronoun(mi)),pred_p(verb_t(olin),obj_d(pronoun(sina))))))"
764,meli Osaka,"headline(obj_i((noun(meli),unofficial_female_resident(known_city(Osaka)))))"
766,meli pi jan Lope li pali e moku.,"s(dec(subj_p((noun(meli),noun(jan),unofficial_male_name(known_male_name(Lope)))),pred_p(verb_t(pali),obj_d(noun(moku)))))"
767,meli pi pana moku,"headline(obj_i((noun(meli),noun(pana),adjective(moku))))"
769,meli pi pona lukin li moku e moku pi pona moku ni.,"s(dec(subj_p((noun(meli),noun(pona),adjective(lukin))),pred_p(verb_t(moku),obj_d((noun(moku),noun(pona),adjective(moku),pronoun(ni))))))"
771,meli pona,"headline(obj_i((noun(meli),adjective(pona))))"
772,meli pona en mije en mi li moku e moku.,"s(dec(subj_p(((noun(meli),adjective(pona)),(conj(en),noun(mije)),conj(en),pronoun(mi))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
773,meli pona Lisa ni li moku e moku.,"s(dec(subj_p((noun(meli),adjective(pona),unofficial_female_name(known_female_name(Lisa)),pronoun(ni))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
774,meli pona Mawija ni li moku e moku.,"s(dec(subj_p((noun(meli),adjective(pona),unofficial_famous_woman(known_famous_woman(Mawija)),pronoun(ni))),pred_p(verb_t(moku),obj_d(noun(moku)))))"
775,meli pona Mesiko suli li toki e toki.,"s(dec(subj_p((noun(meli),adjective(pona),unofficial_female_resident(known_country(Mesiko)),adjective(suli))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
779,meli seme li moku e moku?,"s(int(who(subj_p((noun(meli),pronoun_interrogative(seme))),pred_p(verb_t(moku),obj_d(noun(moku))))))"
782,meli Sonko li tawa nasin Kuwin.,"s(dec(subj_p((noun(meli),unofficial_female_resident(known_country(Sonko)))),pred_p(verb_i(be),(noun(tawa),adjective(nasin),unofficial_thing(unknown(Kuwin))))))"
784,meli suli li sona ala e ni: jan Isapela li toki e seme?,"s(int(subj_p((noun(meli),adjective(suli))),pred_p((verb_t(sona),adverb(ala)),obj_d(pronoun(ni))),what_d_object(subj_p((noun(jan),unofficial_person_name(unknown(Isapela)))),pred_p(verb_t(toki),obj_d(pronoun_interrogative(seme))))))"
787,meli suli li weka e mije ona.,"s(dec(subj_p((noun(meli),adjective(suli))),pred_p(verb_t(weka),obj_d((noun(mije),pronoun(ona))))))"
788,meli suli li wile ala e ni: kulupu li kama e tomo ona li lukin e mije ona.,"s(dec(subj_p((noun(meli),adjective(suli))),pred_p((verb_t(wile),adverb(ala)),obj_d(pronoun(ni))),subj_p(noun(kulupu)),(pred_p(verb_t(kama),obj_d((noun(tomo),pronoun(ona)))),pred_p(pred_p(verb_t(lukin),obj_d((noun(mije),pronoun(ona))))))))"
789,meli suli o pona e len lawa sina!,"s(imp(com(subj_p((noun(meli),adjective(suli))),pred_p(verb_t(pona),obj_d((noun(len),adjective(lawa),pronoun(sina)))))))"
790,meli suli pona o pona e len lawa sina!,"s(imp(com(subj_p((noun(meli),adjective(suli),adjective(pona))),pred_p(verb_t(pona),obj_d((noun(len),adjective(lawa),pronoun(sina)))))))"
791,meli Susan,"headline(obj_i((noun(meli),unofficial_female_name(known_female_name(Susan)))))"
794,"mi alasa e soweli, kepeken ona suli.","s(dec(subj_p(pronoun(mi)),pred_p(verb_t(alasa),obj_d(noun(soweli)),obj_p(preposition(kepeken),(pronoun(ona),adjective(suli))))))"
795,mi anpa e jan utala.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(anpa),obj_d((noun(jan),adjective(utala))))))"
801,mi jan Mawi.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_i(be),(noun(jan),unofficial_person_name(unknown(Mawi))))))"
802,mi jan Pepe.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_i(be),(noun(jan),unofficial_male_name(known_male_name(Pepe))))))"
803,mi jan pi toki pona.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_i(be),(noun(jan),noun(toki),adjective(pona)))))"
804,mi jan Sakana.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_i(be),(noun(jan),unofficial_person_name(unknown(Sakana))))))"
805,mije Elopa,"headline(obj_i((noun(mije),unofficial_male_resident(known_continent(Elopa)))))"
807,mije God li toki e toki.,"s(dec(subj_p((noun(mije),unofficial_person_name(famous_person(God)))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
808,mije Lalalalalala li toki e toki.,"s(dec(subj_p((noun(mije),unofficial_male_name(unknown(Lalalalalala)))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
809,mije Lapalapala,"headline(obj_i((noun(mije),unofficial_male_name(unknown(Lapalapala)))))"
817,mije li lukin e pona ona li olin sama e ona.,"s(dec(subj_p(noun(mije)),(pred_p(verb_t(lukin),obj_d((noun(pona),pronoun(ona)))),pred_p(pred_p((verb_t(olin),adverb(sama)),obj_d(pronoun(ona)))))))"
819,mije li moku ala e kili ike.,"s(dec(subj_p(noun(mije)),pred_p((verb_t(moku),adverb(ala)),obj_d((noun(kili),adjective(ike))))))"
820,mije li pilin e ni.,"s(dec(subj_p(noun(mije)),pred_p(verb_t(pilin),obj_d(pronoun(ni)))))"
822,mije li sona e ijo.,"s(dec(subj_p(noun(mije)),pred_p(verb_t(sona),obj_d(noun(ijo)))))"
825,mije Mesiko,"headline(obj_i((noun(mije),unofficial_male_resident(known_country(Mesiko)))))"
826,mije Nikita li toki e toki.,"s(dec(subj_p((noun(mije),unofficial_male_name(known_male_name(Nikita)))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
829,mije Osaka,"headline(obj_i((noun(mije),unofficial_male_resident(known_city(Osaka)))))"
830,mije Pepe,"headline(obj_i((noun(mije),unofficial_male_name(known_male_name(Pepe)))))"
831,mije pi pilin pona li pali e ilo tenpo.,"s(dec(subj_p((noun(mije),noun(pilin),adjective(pona))),pred_p(verb_t(pali),obj_d((noun(ilo),adjective(tenpo))))))"
833,mije pona Mesiko kin li toki e toki.,"s(dec(subj_p((noun(mije),adjective(pona),unofficial_male_resident(known_country(Mesiko)),adjective(kin))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
834,mije pona Nikita suli li toki e toki.,"s(dec(subj_p((noun(mije),adjective(pona),unofficial_male_name(known_male_name(Nikita)),adjective(suli))),pred_p(verb_t(toki),obj_d(noun(toki)))))"
835,mije pona Santa ni li pana e pona.,"s(dec(subj_p((noun(mije),adjective(pona),unofficial_famous_man(famous_man(Santa)),pronoun(ni))),pred_p(verb_t(pana),obj_d(noun(pona)))))"
836,mije Santa,"headline(obj_i((noun(mije),unofficial_famous_man(famous_man(Santa)))))"
837,mije Santa li pana e pona.,"s(dec(subj_p((noun(mije),unofficial_famous_man(famous_man(Santa)))),pred_p(verb_t(pana),obj_d(noun(pona)))))"
840,mije seme li moku e moku?,"s(int(who(subj_p((noun(mije),pronoun_interrogative(seme))),pred_p(verb_t(moku),obj_d(noun(moku))))))"
843,mije sona li jo e kala anu seme?,"s(int(or_what(subj_p((noun(mije),adjective(sona))),(pred_p(verb_t(jo),obj_d(noun(kala))),conj(anu),pronoun_interrogative(seme)))))"
844,mije sona li jo e tomo anu seme?,"s(int(or_what(subj_p((noun(mije),adjective(sona))),(pred_p(verb_t(jo),obj_d(noun(tomo))),conj(anu),pronoun_interrogative(seme)))))"
846,mije wawa li lukin jo e meli pona.,"s(dec(subj_p((noun(mije),adjective(wawa))),pred_p((verb_p(lukin),verb_t(jo)),obj_d((noun(meli),adjective(pona))))))"
847,mi jo ala e mani.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(jo),adverb(ala)),obj_d(noun(mani)))))"
849,"mi jo ala e soweli, la mi moku e kili.","s(dec(cond_p(subj_p(pronoun(mi)),pred_p((verb_t(jo),adverb(ala)),obj_d(noun(soweli)))),subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(kili)))))"
850,mi jo e ilo.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(jo),obj_d(noun(ilo)))))"
851,mi jo e kili.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(jo),obj_d(noun(kili)))))"
854,mi jo e soweli wan taso.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(jo),obj_d((noun(soweli),card(numeral(wan)),adjective(taso))))))"
859,mi kama e pakala.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(kama),obj_d(noun(pakala)))))"
860,mi kama jo e telo.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_p(kama),verb_t(jo)),obj_d(noun(telo)))))"
862,mi kama sona e toki pona.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_p(kama),verb_t(sona)),obj_d((noun(toki),adjective(pona))))))"
867,mi ken ala ken jo e wan?,"s(int(yes_no(subj_p(pronoun(mi)),pred_p(verb_p(ken),adverb(ala),verb_p(ken),verb_t(jo),obj_d(noun(wan))))))"
868,mi ken ala kute e toki sina.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_p(ken),adverb(ala),verb_t(kute)),obj_d((noun(toki),pronoun(sina))))))"
875,mi kepeken poki kepeken ilo moku.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_i(kepeken),obj_i(noun(poki)),obj_p(preposition(kepeken),(noun(ilo),adjective(moku))))))"
876,mi kepeken poki ni.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_i(kepeken),obj_i((noun(poki),pronoun(ni))))))"
884,mi kule e lipu.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(kule),obj_d(noun(lipu)))))"
885,mi kute e kalama musi.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(kute),obj_d((noun(kalama),adjective(musi))))))"
886,mi kute e mije anu meli.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(kute),obj_d(noun(mije),obj_a(conj(anu),noun(meli))))))"
887,mi kute e ona anu sina.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(kute),obj_d(pronoun(ona),obj_a(conj(anu),pronoun(sina))))))"
888,mi kute e ona pona anu sina pona.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(kute),obj_d((pronoun(ona),adjective(pona)),obj_a(conj(anu),(pronoun(sina),adjective(pona)))))))"
889,mi kute e sina.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(kute),obj_d(pronoun(sina)))))"
890,mi kute e telo suli.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(kute),obj_d((noun(telo),adjective(suli))))))"
891,mi kute e toki sina.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_t(kute),obj_d((noun(toki),pronoun(sina))))))"
892,mi la mi moku e moku.,"s(dec(cond_p(pronoun(mi)),subj_p(pronoun(mi)),pred_p(verb_t(moku),obj_d(noun(moku)))))"
897,mi lawa pona e jan.,"s(dec(subj_p(pronoun(mi)),pred_p((verb_t(lawa),adverb(pona)),obj_d(noun(jan)))))"
900,mi lon ona pona.,"s(dec(subj_p(pronoun(mi)),pred_p(verb_i(lon),obj_i((pronoun(ona),adjective(pona))))))"
